song,artist,popularity
Stay,The Kid LAROI & Justin Bieber,-1.0
Industry Baby,Lil Nas X & Jack Harlow,-1.0
Way 2 Sexy,Drake Featuring Future & Young Thug,-1.0
Essence,Wizkid Featuring Justin Bieber & Tems,-1.0
Kiss Me More,Doja Cat Featuring SZA,-1.0
You Right,Doja Cat & The Weeknd,-1.0
Save Your Tears,The Weeknd & Ariana Grande,-1.0
If I Didn't Love You,Jason Aldean & Carrie Underwood,-1.0
My Universe,Coldplay x BTS,-1.0
Girls Want Girls,Drake Featuring Lil Baby,-1.0
Let's Go Brandon,Bryson Gray Featuring Tyson James & Chandler Crump,-1.0
Buy Dirt,Jordan Davis Featuring Luke Bryan,-1.0
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),-1.0
Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,-1.0
Wild Side,Normani Featuring Cardi B,-1.0
Family Ties,Baby Keem & Kendrick Lamar,-1.0
Fair Trade,Drake Featuring Travis Scott,-1.0
Chosen,Blxst & Tyga Featuring Ty Dolla $ign,-1.0
Baddest,"Yung Bleu, Chris Brown & 2 Chainz",-1.0
Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,-1.0
Switches & Dracs,Moneybagg Yo Featuring Lil Durk & EST Gee,-1.0
Jugaste y Sufri,Eslabon Armado Featuring DannyLux,-1.0
Volvi,Aventura x Bad Bunny,-1.0
Whole Lotta Money,BIA Featuring Nicki Minaj,-1.0
Maybach,42 Dugg Featuring Future,-1.0
Poke It Out,Wale Featuring J. Cole,-1.0
Freedom Was A Highway,Jimmie Allen & Brad Paisley,-1.0
Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney,-1.0
"Ya Superame (En Vivo Desde Culiacan, Sinaloa)",Grupo Firme,-1.0
In The Bible,Drake Featuring Lil Durk & Giveon,-1.0
Ain't Shit,Doja Cat,-1.0
Come Through,H.E.R. Featuring Chris Brown,-1.0
Leave Before You Love Me,Marshmello X Jonas Brothers,-1.0
Rich N***a Shit,Young Thug With Juice WRLD,-1.0
Let Somebody Go,Coldplay X Selena Gomez,-1.0
Woo Baby,Pop Smoke Featuring Chris Brown,-1.0
Flocky Flocky,Don Toliver Featuring Travis Scott,-1.0
Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,-1.0
Drinkin' Beer. Talkin' God. Amen.,Chase Rice Featuring Florida Georgia Line,-1.0
Your Heart,Joyner Lucas & J. Cole,-1.0
Hot,Meek Mill Featuring Moneybagg Yo,-1.0
Blue Note$ II,Meek Mill Featuring Lil Uzi Vert,-1.0
Me (FWM),Meek Mill Featuring A$AP Ferg,-1.0
Feelin Like Tunechi,Lil Wayne Featuring Rich The Kid,-1.0
Ride For You,Meek Mill Featuring Kehlani,-1.0
Love All,Drake Featuring JAY-Z,-1.0
Rumors,Lizzo Featuring Cardi B,-1.0
N 2 Deep,Drake Featuring Future,-1.0
Scoop,Lil Nas X Featuring Doja Cat,-1.0
Dolla Sign Slime,Lil Nas X Featuring Megan Thee Stallion,-1.0
Lonely,DaBaby X Lil Wayne,-1.0
One Of Me,Lil Nas X Featuring Elton John,-1.0
Skate,Silk Sonic (Bruno Mars & Anderson .Paak),-1.0
Am I Dreaming,Lil Nas X Featuring Miley Cyrus,-1.0
Don't Go Yet,Camila Cabello,-1.0
Range Brothers,Baby Keem & Kendrick Lamar,-1.0
IMY2,Drake Featuring Kid Cudi,-1.0
Yebba's Heartbreak,Drake & Yebba,-1.0
Get Along Better,Drake Featuring Ty Dolla $ign,-1.0
You Only Live Twice,Drake Featuring Lil Wayne & Rick Ross,-1.0
Fountains,Drake Featuring Tems,-1.0
Fucking Fans,Drake,-1.0
AM,Nio Garcia X J Balvin X Bad Bunny,-1.0
Matt Hardy 999,Trippie Redd Featuring Juice WRLD,-1.0
Famous Friends,Chris Young + Kane Brown,-1.0
Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,-1.0
Already Won,Rod Wave Featuring Lil Durk,-1.0
Betrayal,Trippie Redd Featuring Drake,-1.0
Holy Smokes,Trippie Redd Featuring Lil Uzi Vert,-1.0
You,Regard x Troye Sivan x Tate McRae,-1.0
MP5,Trippie Redd Featuring SoFaygo,-1.0
Get Ready,Rod Wave Featuring Kodak Black,-1.0
Danny Phantom,Trippie Redd Featuring XXXTENTACION,-1.0
Demon Time,Trippie Redd Featuring Ski Mask The Slump God,-1.0
Mind Of Melvin,YNW Melly Featuring Lil Uzi Vert,-1.0
Hats Off,"Lil Baby, Lil Durk & Travis Scott",-1.0
Over The Top,Smiley Featuring Drake,-1.0
my.life,"J. Cole, 21 Savage & Morray",-1.0
WUSYANAME,"Tyler, The Creator Featuring YoungBoy Never Broke Again & Ty Dolla $ign",-1.0
Outside,MO3 X OG Bobby Billions,-1.0
5500 Degrees,"EST Gee Featuring Lil Baby, 42 Dugg & Rylo Rodriguez",-1.0
My Ex's Best Friend,Machine Gun Kelly X blackbear,-1.0
EPMD 2,Nas Featuring Eminem & EPMD,-1.0
Lose,KSI x Lil Wayne,-1.0
Fiel,"Los Legendarios, Wisin & Jhay Cortez",-1.0
Mood,24kGoldn Featuring iann dior,-1.0
One Too Many,Keith Urban Duet With P!nk,-1.0
From The Garden,Isaiah Rashad Featuring Lil Uzi Vert,-1.0
Working,Tate McRae X Khalid,-1.0
Wants And Needs,Drake Featuring Lil Baby,-1.0
Better Believe,"Belly, The Weeknd & Young Thug",-1.0
Still Chose You,The Kid LAROI Featuring Mustard,-1.0
Bout A Million,Pop Smoke Featuring 21 Savage & 42 Dugg,-1.0
transparentsoul,Willow Featuring Travis Barker,-1.0
30,Pop Smoke Featuring Bizzy Banks,-1.0
Calling My Phone,Lil Tjay Featuring 6LACK,-1.0
Volando,"Mora, Bad Bunny & Sech",-1.0
Wasting Time,Brent Faiyaz Featuring Drake,-1.0
Cry No More,G Herbo Featuring Polo G & Lil Tjay,-1.0
Essence,Wizkid Featuring Tems,-1.0
Having Our Way,Migos Featuring Drake,-1.0
Tell Em,Cochise & $NOT,-1.0
Hot Wind Blows,"Tyler, The Creator Featuring Lil Wayne",-1.0
I Don't Do Drugs,Doja Cat Featuring Ariana Grande,-1.0
Sir Baudelaire,"Tyler, The Creator Featuring DJ Drama",-1.0
Sweet / I Thought You Wanted To Dance,"Tyler, The Creator Featuring Brent Faiyaz & Fana Hues",-1.0
RunItUp,"Tyler, The Creator Featuring Teezo Touchdown",-1.0
Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,-1.0
No Return,Polo G Featuring The Kid LAROI & Lil Durk,-1.0
No More Parties,Coi Leray Featuring Lil Durk,-1.0
pride.is.the.devil,J. Cole & Lil Baby,-1.0
Still Runnin,"Lil Baby, Lil Durk & Meek Mill",-1.0
How It Feels,Lil Baby & Lil Durk,-1.0
Malibu,Migos Featuring Polo G,-1.0
Clueless,Polo G Featuring Pop Smoke & Fivio Foreign,-1.0
Heart Of A Giant,Polo G Featuring Rod Wave,-1.0
Party Lyfe,Polo G Featuring DaBaby,-1.0
Go Part 1,Polo G Featuring G Herbo,-1.0
2040,Lil Baby & Lil Durk,-1.0
Back In Blood,Pooh Shiesty Featuring Lil Durk,-1.0
Still Hood,Lil Baby & Lil Durk,-1.0
Man Of My Word,Lil Baby & Lil Durk,-1.0
Medical,Lil Baby & Lil Durk,-1.0
Rich Off Pain,"Lil Baby, Lil Durk & Rod Wave",-1.0
Lying,Lil Baby & Lil Durk,-1.0
That's Facts,Lil Baby & Lil Durk,-1.0
Please,Lil Baby & Lil Durk,-1.0
Up The Side,"Lil Baby, Lil Durk & Young Thug",-1.0
If You Want To,Lil Baby & Lil Durk,-1.0
Killer,Eminem Featuring Jack Harlow & Cordae,-1.0
Goosebumps,Travis Scott & HVME,-1.0
Solid,Young Thug & Gunna Featuring Drake,-1.0
Hello,Pop Smoke Featuring A Boogie Wit da Hoodie,-1.0
95.south,J. Cole,-1.0
Drankin N Smokin,Future & Lil Uzi Vert,-1.0
applying.pressure,J. Cole,-1.0
100.mil',J. Cole & Bas,-1.0
let.go.my.hand,"J. Cole, Bas & 6LACK",-1.0
24 Hours,A Boogie Wit da Hoodie Featuring Lil Durk,-1.0
punchin'.the.clock,J. Cole,-1.0
the.climb.back,J. Cole,-1.0
hunger.on.hillside,J. Cole & Bas,-1.0
His & Hers,"Internet Money, Don Toliver & Lil Uzi Vert Featuring Gunna",-1.0
La Noche de Anoche,Bad Bunny & Rosalia,-1.0
Crocodile Teeth,Nicki Minaj & Skillibeng,-1.0
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,-1.0
Dakiti,Bad Bunny & Jhay Cortez,-1.0
You're Mines Still,Yung Bleu Featuring Drake,-1.0
Just The Way,Parmalee x Blanco Brown,-1.0
I Did It,"DJ Khaled Featuring Post Malone, Megan Thee Stallion, Lil Baby & DaBaby",-1.0
Hellcats & Trackhawks,Lil Durk,-1.0
Richer,Rod Wave Featuring Polo G,-1.0
Go!,Moneybagg Yo Featuring BIG30,-1.0
Without You,The Kid LAROI & Miley Cyrus,-1.0
Sorry Not Sorry,"DJ Khaled Featuring Nas, JAY-Z & James Fauntleroy",-1.0
Body In Motion,"DJ Khaled Featuring Bryson Tiller, Lil Baby & Roddy Ricch",-1.0
Durag Activity,Baby Keem & Travis Scott,-1.0
Thankful,DJ Khaled Featuring Lil Wayne & Jeremih,-1.0
For The Night,Pop Smoke Featuring Lil Baby & DaBaby,-1.0
Free Promo,Moneybagg Yo Featuring Polo G & Lil Durk,-1.0
Diamonds Dancing,Young Thug & Gunna Featuring Travis Scott,-1.0
Cry Baby,Megan Thee Stallion Featuring DaBaby,-1.0
Came And Saw,Young Thug Featuring Rowdy Rebel,-1.0
Paid The Fine,Young Thug & Gunna Featuring Lil Baby & YTB Trench,-1.0
Run It Up,Lil Tjay Featuring Offset & Moneybagg Yo,-1.0
Slatty,Young Thug & Gunna Featuring Yak Gotti & Lil Duke,-1.0
You All Over Me (Taylor's Version) (From The Vault),Taylor Swift Featuring Maren Morris,-1.0
Met Him Last Night,Demi Lovato Featuring Ariana Grande,-1.0
Real As It Gets,Lil Baby Featuring EST Gee,-1.0
Lemon Pepper Freestyle,Drake Featuring Rick Ross,-1.0
As I Am,Justin Bieber Featuring Khalid,-1.0
Girl Like Me,Black Eyed Peas X Shakira,-1.0
Don't Forget,Rod Wave,-1.0
Unstable,Justin Bieber Featuring The Kid LAROI,-1.0
Die For You,Justin Bieber Featuring Dominic Fike,-1.0
Love You Different,Justin Bieber Featuring BEAM,-1.0
Loved By You,Justin Bieber Featuring Burna Boy,-1.0
Neighbors,Pooh Shiesty Featuring BIG30,-1.0
Bandido,Myke Towers & Juhn,-1.0
Daywalker!,Machine Gun Kelly & CORPSE,-1.0
Opp Stoppa,YBN Nahmir Featuring 21 Savage,-1.0
Still Trappin',Lil Durk & King Von,-1.0
Finesse Out The Gang Way,Lil Durk Featuring Lil Baby,-1.0
Lifestyle,Jason Derulo Featuring Adam Levine,-1.0
I Hope,Gabby Barrett Featuring Charlie Puth,-1.0
Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,-1.0
Laugh Now Cry Later,Drake Featuring Lil Durk,-1.0
Hit Bout It,Lil Yachty Featuring Kodak Black,-1.0
ZaZa,6ix9ine,-1.0
Back To The Streets,Saweetie Featuring Jhene Aiko,-1.0
Bad Boy,Juice WRLD & Young Thug,-1.0
Rockstar,DaBaby Featuring Roddy Ricch,-1.0
Provide,G-Eazy Featuring Chris Brown & Mark Morrison,-1.0
Box Of Churches,Pooh Shiesty Featuring 21 Savage,-1.0
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",-1.0
Should've Ducked,Lil Durk Featuring Pooh Shiesty,-1.0
Gravity,"Brent Faiyaz & DJ Dahi Featuring Tyler, The Creator",-1.0
Mr. Right Now,21 Savage & Metro Boomin Featuring Drake,-1.0
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,-1.0
Lo Vas A Olvidar,Billie Eilish & ROSALIA,-1.0
Hit Different,SZA Featuring Ty Dolla $ign,-1.0
Antes,Anuel AA & Ozuna,-1.0
WAP,Cardi B Featuring Megan Thee Stallion,-1.0
Better Days,Ant Clemons Featuring Justin Timberlake,-1.0
Hawai,Maluma & The Weeknd,-1.0
B.S.,Jhene Aiko Featuring H.E.R.,-1.0
Outlaw,Morgan Wallen Featuring Ben Burgess,-1.0
Only Thing That's Gone,Morgan Wallen Featuring Chris Stapleton,-1.0
Girl Like Me,Jazmine Sullivan Featuring H.E.R.,-1.0
Happy Anywhere,Blake Shelton Featuring Gwen Stefani,-1.0
Ain't Always The Cowboy,Jon Pardi,-1.0
Way Out,Jack Harlow Featuring Big Sean,-1.0
Reminds Me Of You,The Kid LAROI & Juice WRLD,-1.0
Go2DaMoon,Playboi Carti Featuring Kanye West,-1.0
"You're A Mean One, Mr. Grinch",Thurl Ravenscroft,-1.0
I'll Be Home For Christmas,Bing Crosby,-1.0
Hallelujah,Carrie Underwood & John Legend,-1.0
Under The Mistletoe,Kelly Clarkson & Brett Eldredge,-1.0
"No Body, No Crime",Taylor Swift Featuring HAIM,-1.0
Evermore,Taylor Swift Featuring Bon Iver,-1.0
Mr. Solo Dolo III,Kid Cudi,-1.0
Real Shit,Juice WRLD x benny blanco,-1.0
Oh Santa!,Mariah Carey Featuring Ariana Grande & Jennifer Hudson,-1.0
Don't Stop,Megan Thee Stallion Featuring Young Thug,-1.0
Be Like That,Kane Brown With Swae Lee & Khalid,-1.0
ily,Surf Mesa Featuring Emilee,-1.0
One Beer,HARDY Featuring Lauren Alaina & Devin Dawson,-1.0
Come & Go,Juice WRLD x Marshmello,-1.0
Franchise,Travis Scott Featuring Young Thug & M.I.A.,-1.0
Pain Away,Meek Mill Featuring Lil Durk,-1.0
Do It On The Tip,Megan Thee Stallion Featuring City Girls & Hot Girl Meg,-1.0
Popstar,DJ Khaled Featuring Drake,-1.0
Stripes Like Burberry,Future & Lil Uzi Vert,-1.0
That's It,Future & Lil Uzi Vert,-1.0
The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch,-1.0
Real Baby Pluto,Future & Lil Uzi Vert,-1.0
Iris,Phoebe & Maggie,-1.0
Mood Swings,Pop Smoke Featuring Lil Tjay,-1.0
Marni On Me,Future & Lil Uzi Vert,-1.0
Million Dollar Play,Future & Lil Uzi Vert,-1.0
Sleeping On The Floor,Future & Lil Uzi Vert,-1.0
Blind,DaBaby Featuring Young Thug,-1.0
Plastic,Future & Lil Uzi Vert,-1.0
24,Money Man Featuring Lil Baby,-1.0
Runnin,21 Savage & Metro Boomin,-1.0
Relacion,"Sech, Daddy Yankee & J Balvin Featuring Rosalia & Farruko",-1.0
Bought A Bad Bitch,Future & Lil Uzi Vert,-1.0
What That Speed Bout!?,"Mike WiLL Made-It, Nicki Minaj & YoungBoy Never Broke Again",-1.0
Rags2Riches,Rod Wave Featuring ATR Son Son,-1.0
Don't Need Friends,NAV Featuring Lil Baby,-1.0
The Code,King Von Featuring Polo G,-1.0
Tragic,The Kid LAROI Featuring YoungBoy Never Brok Again & Internet Money,-1.0
All These N**gas,King Von Featuring Lil Durk,-1.0
Motive,Ariana Grande Featuring Doja Cat,-1.0
Crazy Story 2.0,King Von Featuring Lil Durk,-1.0
Off The Table,Ariana Grande Featuring The Weeknd,-1.0
"F*ck You, Goodbye",The Kid LAROI Featuring Machine Gun Kelly,-1.0
Safety Net,Ariana Grande Featuring Ty Dolla $ign,-1.0
Thick,DJ Chose Featuring BeatKing,-1.0
Without You,Luke Combs Featuring Amanda Shires,-1.0
Whole Lotta Choppas,Sada Baby Featuring Nicki Minaj,-1.0
Greece,DJ Khaled Featuring Drake,-1.0
Forget Me Too,Machine Gun Kelly & Halsey,-1.0
Head & Heart,Joel Corry X MNEK,-1.0
Hate The Way,G-Eazy Featuring blackbear,-1.0
Glock In My Lap,21 Savage & Metro Boomin,-1.0
Ice Cream,BLACKPINK X Selena Gomez,-1.0
3 Headed Goat,Lil Durk Featuring Lil Baby & Polo G,-1.0
La Jeepeta,Nio Garcia x Anuel AA x Myke Towers x Brray x Juanka,-1.0
Caramelo,Ozuna x Karol G x Myke Towers,-1.0
Pardon,T.I. Featuring Lil Baby,-1.0
Dollaz On My Head,Gunna Featuring Young Thug,-1.0
If The World Was Ending,JP Saxe Featuring Julia Michaels,-1.0
"Baby, I'm Jealous",Bebe Rexha Featuring Doja Cat,-1.0
Rich N*gga Sh*t,21 Savage & Metro Boomin Featuring Young Thug,-1.0
Slidin,21 Savage & Metro Boomin,-1.0
Many Men,21 Savage & Metro Boomin,-1.0
Outta Time,Bryson Tiller Featuring Drake,-1.0
My Dawg,21 Savage & Metro Boomin,-1.0
Brand New Draco,21 Savage & Metro Boomin,-1.0
Snitches & Rats,21 Savage & Metro Boomin Featuring Young Nudy,-1.0
No Opp Left Behind,21 Savage & Metro Boomin,-1.0
Steppin On N*ggas,21 Savage & Metro Boomin,-1.0
RIP Luv,21 Savage & Metro Boomin,-1.0
Said N Done,21 Savage & Metro Boomin,-1.0
Life Is Good,Future Featuring Drake,-1.0
Like That,Doja Cat Featuring Gucci Mane,-1.0
Over Now,Calvin Harris X The Weeknd,-1.0
Moral Of The Story,Ashe Featuring Niall Horan,-1.0
Say So,Doja Cat Featuring Nicki Minaj,-1.0
Dolly,Lil Tecca & Lil Uzi Vert,-1.0
My Window,YoungBoy Never Broke Again Featuring Lil Wayne,-1.0
When You Down,Lil Tecca & Polo G Featuring Lil Durk,-1.0
Wolves,Big Sean Featuring Post Malone,-1.0
Death Bed,Powfu Featuring beabadoobee,-1.0
Intentions,Justin Bieber Featuring Quavo,-1.0
Lithuania,Big Sean Featuring Travis Scott,-1.0
Deep Reverence,Big Sean Featuring Nipsey Hussle,-1.0
Body Language,Big Sean Featuring Ty Dolla $ign & Jhene Aiko,-1.0
Need It,Migos Featuring YoungBoy Never Broke Again,-1.0
Stuck With U,Ariana Grande & Justin Bieber,-1.0
Be A Light,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",-1.0
Blastoff,Internet Money Featuring Juice WRLD & Trippie Redd,-1.0
Spicy,Nas Featuring Fivio Foreign & A$AP Ferg,-1.0
Hate The Other Side,Juice WRLD & Marshmello Featuring Polo G & The Kid LAROI,-1.0
Exile,Taylor Swift Featuring Bon Iver,-1.0
B*tch From da Souf,Mulatto,-1.0
Past Life,Trevor Daniel x Selena Gomez,-1.0
Don't Rush,Young T & Bugsey Featuring Headie One,-1.0
Life's A Mess,Juice WRLD X Halsey,-1.0
Move Ya Hips,A$AP Ferg Featuring  Nicki Minaj & MadeinTYO,-1.0
Be Kind,Marshmello & Halsey,-1.0
Walk Em Down,NLE Choppa Featuring Roddy Ricch,-1.0
No Dribble,DaBaby x Stunna 4 Vegas,-1.0
The Climb Back,J. Cole,-1.0
Go!,Kid LAROI & Juice WRLD,-1.0
The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi",-1.0
Tell Me U Luv Me,Juice WRLD & Trippie Redd,-1.0
Does To Me,Luke Combs Featuring Eric Church,-1.0
Can't Die,Juice WRLD,-1.0
Chicago Freestyle,Drake Featuring Giveon,-1.0
Flex,Polo G Featuring Juice WRLD,-1.0
Enjoy Yourself,Pop Smoke Featuring Karol G,-1.0
My Affection,Summer Walker & PARTYNEXTDOOR,-1.0
Aim For The Moon,Pop Smoke Featuring Quavo,-1.0
Beer Can't Fix,Thomas Rhett Featuring Jon Pardi,-1.0
Make It Rain,Pop Smoke Featuring Rowdy Rebel,-1.0
Snitchin,Pop Smoke Featuring Quavo & Future,-1.0
Creature,Pop Smoke Featuring Swae Lee,-1.0
West Coast Shit,Pop Smoke Featuring Tyga & Quavo,-1.0
Wash Us In The Blood,Kanye West Featuring Travis Scott,-1.0
Diana,Pop Smoke Featuring King Combs,-1.0
Trollz,6ix9ine & Nicki Minaj,-1.0
Know My Rights,6LACK Featuring Lil Baby,-1.0
Grace,Lil Baby & 42 Dugg,-1.0
Believe It,PARTYNEXTDOOR & Rihanna,-1.0
One Shot,YoungBoy Never Broke Again Featuring Lil Baby,-1.0
July,Noah Cyrus & Leon Bridges,-1.0
Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,-1.0
My Oh My,Camila Cabello Featuring DaBaby,-1.0
Cooler Than A Bitch,Gunna Featuring Roddy Ricch,-1.0
Trillionaire,Future Featuring YoungBoy Never Broke Again,-1.0
TKN,Rosalia & Travis Scott,-1.0
Godzilla,Eminem Featuring Juice WRLD,-1.0
T.D,"Lil Yachty & Tierra Whack Featuring A$AP Rocky & Tyler, The Creator",-1.0
Hasta Que Dios Diga,Anuel AA & Bad Bunny,-1.0
Lose Somebody,Kygo & OneRepublic,-1.0
Sigues Con El,Arcangel x Sech,-1.0
Solitaires,Future Featuring Travis Scott,-1.0
RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,-1.0
Top Floor,Gunna Featuring Travis Scott,-1.0
Blindfold,Gunna Featuring Lil Baby,-1.0
Go Stupid,Polo G Featuring NLE Choppa & Stunna 4 Vegas,-1.0
Be Something,Polo G Featuring Lil Baby,-1.0
All Bad,Future Featuring Lil Uzi Vert,-1.0
Harlem Shake,Future Featuring Young Thug,-1.0
Pain 1993,Drake Featuring Playboi Carti,-1.0
Don't Believe The Hype,Polo G,-1.0
Zoo York,Lil Tjay Featuring Fivio Foreign & Pop Smoke,-1.0
I'm Ready,Sam Smith & Demi Lovato,-1.0
D4L,"Future, Drake & Young Thug",-1.0
Change Your Life,Kehlani Featuring Jhene Aiko,-1.0
Desires,Drake Featuring Future,-1.0
Jump,DaBaby Featuring YoungBoy Never Broke Again,-1.0
Demons,Drake Featuring Fivio Foreign & Sosa Geek,-1.0
Not You Too,Drake Featuring Chris Brown,-1.0
Slide,H.E.R. Featuring YG,-1.0
Ain't Easy,YoungBoy Never Broke Again,-1.0
Bout My Business,YoungBoy Never Broke Again Featuring Sherhonda Gaulden,-1.0
