date (day),average_score,date (week),average_score,date (month),average_score,date (year),average_score
2017-01-01,0.05236575342465753,2017-01-03,0.017067313915857606,2017-01-31,0.03806535387015013,2017-12-31,0.024350678650643894
2017-01-02,-0.04773977272727273,2017-01-10,0.05416314387211368,2017-02-28,0.04429148936170212,2018-12-31,0.009680961443694881
2017-01-03,0.038190540540540545,2017-01-17,0.04820980052038162,2017-03-31,0.035283519653804545,2019-12-31,0.003723985128994705
2017-01-04,0.054095,2017-01-24,0.034153942232630755,2017-04-30,0.017746453464534646,2020-12-31,0.0004881768871749594
2017-01-05,0.06644812834224598,2017-01-31,0.023522698412698412,2017-05-31,0.027485531203566123,2021-12-31,0.0007404097381717963
2017-01-06,0.034963963963963965,2017-02-07,0.03578094449047225,2017-06-30,0.027175716981132074,,
2017-01-07,0.013456976744186047,2017-02-14,0.052014643696162884,2017-07-31,0.030908995154834633,,
2017-01-08,0.06533376623376624,2017-02-21,0.05529510040160642,2017-08-31,-0.003245962093119077,,
2017-01-09,0.046715675675675666,2017-02-28,0.033271807628524046,2017-09-30,0.022583131333200872,,
2017-01-10,0.08588571428571427,2017-03-07,0.05820753646677472,2017-10-31,0.011697180667433832,,
2017-01-11,0.055791509433962265,2017-03-14,0.04958303425774878,2017-11-30,0.01631086057095573,,
2017-01-12,0.03917586206896552,2017-03-21,0.030803913738019172,2017-12-31,0.021617850877192982,,
2017-01-13,0.08670869565217391,2017-03-28,-0.0033662711864406772,2018-01-31,0.008867206222409081,,
2017-01-14,0.028709615384615382,2017-04-04,0.04128425063505504,2018-02-28,0.01545101683796195,,
2017-01-15,0.09623552631578948,2017-04-11,-0.0015056872037914693,2018-03-31,-0.007095033770361542,,
2017-01-16,-0.009096124031007749,2017-04-18,0.01174447539461467,2018-04-30,-0.005830590762620837,,
2017-01-17,0.02694204545454545,2017-04-25,0.02850905923344948,2018-05-31,0.008120791886093232,,
2017-01-18,0.05956801801801802,2017-05-02,0.029596913078797724,2018-06-30,0.03118488372093023,,
2017-01-19,0.012604597701149427,2017-05-09,0.051731932773109245,2018-07-31,0.008746827182718271,,
2017-01-20,0.06549045801526718,2017-05-16,0.024260091743119265,2018-08-31,-0.005820937157185394,,
2017-01-21,0.054016513761467884,2017-05-23,0.010257504078303423,2018-09-30,0.012746463362981788,,
2017-01-22,-0.015275949367088608,2017-05-30,0.02164123524069028,2018-10-31,0.00302009327633113,,
2017-01-23,0.011637714285714286,2017-06-06,0.04678085456039441,2018-11-30,0.02633327811141023,,
2017-01-24,0.019428901734104043,2017-06-13,0.0339157770800628,2018-12-31,0.028124803243501074,,
2017-01-25,0.0036130841121495305,2017-06-20,0.0045118686868686865,2019-01-31,0.01128681392235609,,
2017-01-26,0.04560628019323672,2017-06-27,0.01707857733664185,2019-02-28,0.010112979136341581,,
2017-01-27,0.02059106382978723,2017-07-04,0.020837296260786193,2019-03-31,-0.014832153518123666,,
2017-01-28,-0.016707207207207215,2017-07-11,0.03850838709677419,2019-04-30,0.007102387795710811,,
2017-01-29,-0.1309513157894737,2017-07-18,0.03945234720992028,2019-05-31,0.022237302089930334,,
2017-01-30,0.09114788732394366,2017-07-25,0.01835280701754386,2019-06-30,0.00047415480427046404,,
2017-01-31,0.03420735294117647,2017-08-01,0.03649042076991942,2019-07-31,-0.013576743643573594,,
2017-02-01,0.048137391304347826,2017-08-08,0.04209935956084172,2019-08-31,-0.027626064735945487,,
2017-02-02,0.027488841201716737,2017-08-15,-0.02544754716981132,2019-09-30,0.021326754187415118,,
2017-02-03,0.04850286885245902,2017-08-22,-0.019925341841385596,2019-10-31,-0.009254099017839247,,
2017-02-04,0.027412621359223302,2017-08-29,-0.01267893258426966,2019-11-30,0.019276674208144797,,
2017-02-05,0.03817346938775509,2017-09-05,0.011478947368421052,2019-12-31,0.018692797992471772,,
2017-02-06,0.08047869822485208,2017-09-12,0.04302505873140172,2020-01-31,-0.0288659375,,
2017-02-07,-0.02468435754189944,2017-09-19,0.018392558528428093,2020-02-29,0.0012754716981132085,,
2017-02-08,0.06816600985221676,2017-09-26,0.013192041522491349,2020-03-31,0.001882695064509523,,
2017-02-09,-0.02232863636363636,2017-10-03,0.009539452495974236,2020-04-30,0.009196632795377566,,
2017-02-10,0.08138033472803347,2017-10-10,0.005169295302013422,2020-05-31,-0.006991626409017713,,
2017-02-11,0.06650094339622642,2017-10-17,0.0391205,2020-06-30,-0.050418032056990206,,
2017-02-12,0.1062590909090909,2017-10-24,0.03492352941176471,2020-07-31,-0.013864498766539581,,
2017-02-13,0.06271083743842365,2017-10-31,-0.027652863070539418,2020-08-31,0.00332872268528948,,
2017-02-14,0.0409045871559633,2017-11-07,0.01122092050209205,2020-09-30,-0.0036972662182686044,,
2017-02-15,0.08220925925925926,2017-11-14,0.011884918594687233,2020-10-31,0.008450275822712575,,
2017-02-16,0.0723139344262295,2017-11-21,0.008837724550898204,2020-11-30,0.037821040281579975,,
2017-02-17,0.11608780487804879,2017-11-28,0.030616161616161618,2020-12-31,0.04303502648050073,,
2017-02-18,0.020675,2017-12-05,0.028108985024958403,2021-01-31,-0.08464380802742466,,
2017-02-19,0.0105020202020202,2017-12-12,-0.005891746307558644,2021-02-28,-0.008633638497652581,,
2017-02-20,0.005358015267175572,2017-12-19,0.04332092609082814,2021-03-31,0.00032442540743836217,,
2017-02-21,0.003494179894179896,2017-12-26,0.02040522222222222,2021-04-30,0.0015847125435540076,,
2017-02-22,0.03937582417582418,2018-01-02,0.027218327183271836,2021-05-31,0.017676740914419696,,
2017-02-23,0.059948803827751196,2018-01-09,0.0024606261859582567,2021-06-30,0.030617441314553996,,
2017-02-24,-0.01543032786885246,2018-01-16,0.014688706563706563,2021-07-31,0.021045063801208866,,
2017-02-25,-0.01477232142857143,2018-01-23,-0.00554090106007067,2021-08-31,-0.004515486620885626,,
2017-02-26,0.03168625,2018-01-30,0.017634649910233394,2021-09-30,0.023082329317269074,,
2017-02-27,0.09348631578947368,2018-02-06,0.01189517857142857,2021-10-31,0.017183074753173485,,
2017-02-28,0.029377248677248682,2018-02-13,0.020756902356902356,2021-11-30,0.0290072141787319,,
2017-03-01,0.03333663793103448,2018-02-20,0.00018686067019400333,2021-12-31,0.022805432227735702,,
2017-03-02,0.0720467248908297,2018-02-27,0.033473467600700524,,,,
2017-03-03,0.12987510917030567,2018-03-06,0.007057167530224525,,,,
2017-03-04,0.05929809523809524,2018-03-13,-0.0017878005342831706,,,,
2017-03-05,-2.6865671641796373e-05,2018-03-20,-0.030174978867286557,,,,
2017-03-06,0.03283060109289618,2018-03-27,-0.005984363636363636,,,,
2017-03-07,0.02974285714285714,2018-04-03,-0.003931728045325778,,,,
2017-03-08,0.05274619289340102,2018-04-10,-0.015609769585253454,,,,
2017-03-09,0.022813807531380754,2018-04-17,-0.008754585537918871,,,,
2017-03-10,0.02528073394495413,2018-04-24,0.004235376044568246,,,,
2017-03-11,-0.02143333333333333,2018-05-01,0.009407964601769913,,,,
2017-03-12,0.1818567901234568,2018-05-08,-0.0014430182133564598,,,,
2017-03-13,0.07437326203208557,2018-05-15,0.021685230234578627,,,,
2017-03-14,0.06426782178217823,2018-05-22,0.0063298469387755105,,,,
2017-03-15,0.0382953488372093,2018-05-29,0.009737275307473982,,,,
2017-03-16,0.025228395061728397,2018-06-05,0.025688180272108847,,,,
2017-03-17,0.05774244897959184,2018-06-12,0.039320628183361635,,,,
2017-03-18,-0.03278867924528302,2018-06-19,0.01034412265758092,,,,
2017-03-19,0.05294047619047619,2018-06-26,0.02623729957805907,,,,
2017-03-20,0.022640697674418602,2018-07-03,0.038934898139946855,,,,
2017-03-21,0.027754010695187167,2018-07-10,0.025767329842931938,,,,
2017-03-22,0.002214285714285715,2018-07-17,0.011098102466793169,,,,
2017-03-23,0.024160747663551405,2018-07-24,0.004621958456973293,,,,
2017-03-24,-0.03943881856540085,2018-07-31,-0.019094461228600205,,,,
2017-03-25,-0.008026041666666662,2018-08-07,-0.021807951070336392,,,,
2017-03-26,0.03623974358974359,2018-08-14,0.014776176176176176,,,,
2017-03-27,-0.028892638036809817,2018-08-21,-0.003327777777777778,,,,
2017-03-28,0.012741798941798943,2018-08-28,-0.014044748700173311,,,,
2017-03-29,0.06350784313725491,2018-09-04,0.014796335078534029,,,,
2017-03-30,0.05298303571428571,2018-09-11,0.026415982532751094,,,,
2017-03-31,0.016138938053097344,2018-09-18,0.015825212224108657,,,,
2017-04-01,0.039782568807339456,2018-09-25,-0.017468706293706296,,,,
2017-04-02,0.05898271604938271,2018-10-02,0.02852818336162988,,,,
2017-04-03,0.07209401197604791,2018-10-09,0.056979877515310584,,,,
2017-04-04,-0.005106470588235295,2018-10-16,-0.02758456318914334,,,,
2017-04-05,0.03180717488789238,2018-10-23,0.006394653812445223,,,,
2017-04-06,0.01826,2018-10-30,-0.021318804920913884,,,,
2017-04-07,-0.02202277580071174,2018-11-06,0.05166583801122695,,,,
2017-04-08,0.0013820754716981128,2018-11-13,0.033533806566104704,,,,
2017-04-09,0.03376233766233767,2018-11-20,8.867427568042237e-06,,,,
2017-04-10,0.02154754098360656,2018-11-27,0.014224971231300345,,,,
2017-04-11,-0.0825301204819277,2018-12-04,0.011177797051170859,,,,
2017-04-12,-0.0031056410256410276,2018-12-11,0.04241356088560886,,,,
2017-04-13,0.024613,2018-12-18,0.02508258754863813,,,,
2017-04-14,0.047354455445544556,2018-12-25,0.015723946784922397,,,,
2017-04-15,-0.010736734693877549,2019-01-01,0.03708540829986613,,,,
2017-04-16,-0.047984285714285715,2019-01-08,0.0077169346195069665,,,,
2017-04-17,-0.015169333333333335,2019-01-15,0.01994662162162162,,,,
2017-04-18,0.03365864197530864,2019-01-22,-0.006925024342745862,,,,
2017-04-19,0.09796212121212121,2019-01-29,0.020095898437500002,,,,
2017-04-20,0.014514999999999998,2019-02-05,0.005206207674943565,,,,
2017-04-21,-0.019871844660194173,2019-02-12,-0.0015817843866171007,,,,
2017-04-22,-0.018664130434782603,2019-02-19,-0.0020663801337153774,,,,
2017-04-23,0.07566835443037975,2019-02-26,0.0240536312849162,,,,
2017-04-24,0.00508411764705882,2019-03-05,0.02191900826446281,,,,
2017-04-25,0.049766120218579235,2019-03-12,0.008192399267399269,,,,
2017-04-26,0.048036842105263156,2019-03-19,-0.05678596171376481,,,,
2017-04-27,0.019999539170506914,2019-03-26,-0.012318462980318651,,,,
2017-04-28,0.052131707317073166,2019-04-02,-0.012171481140754371,,,,
2017-04-29,-0.05631134020618557,2019-04-09,0.013778810408921933,,,,
2017-04-30,0.011746153846153852,2019-04-16,0.05322637263726372,,,,
2017-05-01,0.03603315217391304,2019-04-23,-0.0011925521350546178,,,,
2017-05-02,0.037395721925133685,2019-04-30,-0.029066137040714996,,,,
2017-05-03,0.15255962441314552,2019-05-07,0.006627573182247403,,,,
2017-05-04,0.030640291262135924,2019-05-14,0.021291873804971318,,,,
2017-05-05,0.046501626016260164,2019-05-21,0.030016164383561642,,,,
2017-05-06,0.010676086956521742,2019-05-28,0.031187987679671455,,,,
2017-05-07,0.0018531645569620293,2019-06-04,0.002247282608695653,,,,
2017-05-08,0.027219277108433738,2019-06-11,-0.0032819641170915947,,,,
2017-05-09,0.030146276595744682,2019-06-18,-0.02408174757281553,,,,
2017-05-10,-0.046946153846153846,2019-06-25,0.003695541401273887,,,,
2017-05-11,0.11210833333333334,2019-07-02,0.03339650092081031,,,,
2017-05-12,0.05437878787878788,2019-07-09,0.02659978021978022,,,,
2017-05-13,0.017429347826086957,2019-07-16,-0.029931818181818177,,,,
2017-05-14,0.05356020408163265,2019-07-23,-0.012120515463917526,,,,
2017-05-15,-0.007727222222222222,2019-07-30,-0.04824469214437367,,,,
2017-05-16,-0.04888192090395481,2019-08-06,-0.05692129353233831,,,,
2017-05-17,-0.006929166666666669,2019-08-13,-0.0442775956284153,,,,
2017-05-18,-0.003828017241379312,2019-08-20,-0.014183650615901456,,,,
2017-05-19,0.014678008298755187,2019-08-27,0.0052547461368653405,,,,
2017-05-20,0.019516470588235295,2019-09-03,0.00023534136546184793,,,,
2017-05-21,0.05470322580645161,2019-09-10,0.03440990606319386,,,,
2017-05-22,0.010766285714285713,2019-09-17,0.012807458563535911,,,,
2017-05-23,0.015177717391304347,2019-09-24,0.025782535211267606,,,,
2017-05-24,0.023473611111111112,2019-10-01,0.004844141689373297,,,,
2017-05-25,0.04381635514018691,2019-10-08,-0.013653488372093023,,,,
2017-05-26,0.010160909090909089,2019-10-15,0.0005875464684014871,,,,
2017-05-27,-0.06221927710843374,2019-10-22,0.008511605584642232,,,,
2017-05-28,0.03154141414141414,2019-10-29,-0.027850752878653677,,,,
2017-05-29,-0.020706930693069305,2019-11-05,0.007594018691588784,,,,
2017-05-30,0.06712857142857144,2019-11-12,0.0037628930817610057,,,,
2017-05-31,0.02480372340425532,2019-11-19,0.008208133086876155,,,,
2017-06-01,0.08900727272727271,2019-11-26,0.02204697247706422,,,,
2017-06-02,0.13446015325670496,2019-12-03,0.03776905055487053,,,,
2017-06-03,0.010877551020408164,2019-12-10,0.010774091778202677,,,,
2017-06-04,-0.05092380952380953,2019-12-17,0.021569175991861648,,,,
2017-06-05,0.027166875,2019-12-24,0.03905072314049587,,,,
2017-06-06,-0.013363243243243244,2019-12-31,0.010406119162640903,,,,
2017-06-07,0.06884675925925926,2020-01-07,-0.05891044957472661,,,,
2017-06-08,0.04428577405857741,2020-01-14,-0.028660306122448978,,,,
2017-06-09,0.07669051724137932,2020-01-21,-0.032927744510978046,,,,
2017-06-10,-0.08328761061946903,2020-01-28,-0.019954219030520647,,,,
2017-06-11,-0.04104952380952381,2020-02-04,0.01968605313092979,,,,
2017-06-12,0.07576514285714286,2020-02-11,-0.0064177055103884365,,,,
2017-06-13,0.002186082474226806,2020-02-18,-0.003425714285714284,,,,
2017-06-14,-0.04152433862433863,2020-02-25,0.010821823472356936,,,,
2017-06-15,0.03345603864734299,2020-03-03,0.013559300184162064,,,,
2017-06-16,0.04479063829787234,2020-03-10,-0.0001502814258911818,,,,
2017-06-17,-0.041491509433962265,2020-03-17,-0.01129448946515397,,,,
2017-06-18,0.029370754716981137,2020-03-24,-0.0008767695099818511,,,,
2017-06-19,-0.01429685534591195,2020-03-31,-0.003920207743153917,,,,
2017-06-20,-0.0036827956989247315,2020-04-07,-0.023053421052631577,,,,
2017-06-21,-0.01912464454976303,2020-04-14,-0.015527620783956244,,,,
2017-06-22,0.024542173913043475,2020-04-21,0.035367342505430846,,,,
2017-06-23,-0.0055393939393939395,2020-04-28,0.025195265700483093,,,,
2017-06-24,-0.08625222222222222,2020-05-05,0.022079576107899807,,,,
2017-06-25,0.024338834951456313,2020-05-12,-0.015536698113207546,,,,
2017-06-26,0.09260981595092026,2020-05-19,0.010038128078817732,,,,
2017-06-27,0.05789281767955801,2020-05-26,0.008228170594837261,,,,
2017-06-28,0.025645355191256828,2020-06-02,-0.08079097087378641,,,,
2017-06-29,0.004395169082125607,2020-06-09,-0.08819394572025052,,,,
2017-06-30,0.08067809523809523,2020-06-16,-0.046597049847405904,,,,
2017-07-01,-0.021779999999999997,2020-06-23,-0.029558207547169812,,,,
2017-07-02,-0.006649999999999996,2020-06-30,-0.01832974358974359,,,,
2017-07-03,0.028865100671140936,2020-07-07,0.007416967126193002,,,,
2017-07-04,-0.02272897196261682,2020-07-14,-0.01326,,,,
2017-07-05,0.0714764331210191,2020-07-21,-0.04742635897435897,,,,
2017-07-06,0.0692183962264151,2020-07-28,-0.009551789264413519,,,,
2017-07-07,0.04027305699481865,2020-08-04,-6.639427987743317e-06,,,,
2017-07-08,0.023015957446808507,2020-08-11,0.01137832512315271,,,,
2017-07-09,0.028109,2020-08-18,-0.02533952333664349,,,,
2017-07-10,0.028180281690140845,2020-08-25,0.01961775956284153,,,,
2017-07-11,-0.0046160427807486635,2020-09-01,-0.0030844778927563497,,,,
2017-07-12,0.066146875,2020-09-08,-0.03212320085929109,,,,
2017-07-13,0.08143452914798206,2020-09-15,-0.023192801556420232,,,,
2017-07-14,0.08053720930232558,2020-09-22,0.026884886877828054,,,,
2017-07-15,-0.08784578313253012,2020-09-29,0.019734068843777583,,,,
2017-07-16,0.07737628865979382,2020-10-06,0.007710475423045932,,,,
2017-07-17,-0.015059146341463417,2020-10-13,0.024418477331052183,,,,
2017-07-18,-0.00889354838709677,2020-10-20,-0.016085150375939848,,,,
2017-07-19,0.03932970297029703,2020-10-27,0.016688183421516758,,,,
2017-07-20,0.011387128712871288,2020-11-03,-0.00042752646775745935,,,,
2017-07-21,0.02548612440191388,2020-11-10,0.09643231972198088,,,,
2017-07-22,-0.012081052631578944,2020-11-17,0.017589645776566756,,,,
2017-07-23,-0.03796741573033707,2020-11-24,0.024272026641294006,,,,
2017-07-24,0.03823836477987421,2020-12-01,0.07158279430789133,,,,
2017-07-25,0.02063967391304348,2020-12-08,0.07104912451361868,,,,
2017-07-26,-0.015434946236559142,2020-12-15,0.018794221351616062,,,,
2017-07-27,0.05093333333333334,2020-12-22,0.027082782782782783,,,,
2017-07-28,0.07254809523809523,2020-12-29,0.03078298171589311,,,,
2017-07-29,0.03356395348837209,2021-01-05,0.018288070175438598,,,,
2017-07-30,0.08568333333333333,2021-01-12,-0.056563218390804595,,,,
2017-07-31,0.03699869281045751,2021-01-19,-0.059929781160799236,,,,
2017-08-01,0.002804191616766465,2021-01-26,0.03976459854014599,,,,
2017-08-02,0.07327885714285715,2021-02-02,-0.17724442119944211,,,,
2017-08-03,0.025242211055276388,2021-02-09,0.014696883593033913,,,,
2017-08-04,0.09197259615384615,2021-02-16,-0.01987584869059166,,,,
2017-08-05,0.01981724137931034,2021-02-23,-0.020604315196998124,,,,
2017-08-06,-0.0015441176470588221,2021-03-02,-0.010750654205607476,,,,
2017-08-07,0.03190920245398773,2021-03-09,0.008196091515729266,,,,
2017-08-08,0.014273584905660377,2021-03-16,0.027091102873030584,,,,
2017-08-09,-0.025457058823529412,2021-03-23,-0.036239530516431924,,,,
2017-08-10,0.022833333333333337,2021-03-30,-0.0031309056956115773,,,,
2017-08-11,0.014438578680203045,2021-04-06,0.018167017208413003,,,,
2017-08-12,-0.0971625,2021-04-13,-0.02092279069767442,,,,
2017-08-13,-0.003332653061224492,2021-04-20,-0.03792214221422142,,,,
2017-08-14,-0.07569151515151515,2021-04-27,0.014835426889106967,,,,
2017-08-15,-0.04949454545454545,2021-05-04,0.05684472876151484,,,,
2017-08-16,-0.03310793650793651,2021-05-11,0.0270015479876161,,,,
2017-08-17,-0.08800338983050847,2021-05-18,-0.011328886756238003,,,,
2017-08-18,0.022075348837209303,2021-05-25,0.021417716535433073,,,,
2017-08-19,-0.07922278481012658,2021-06-01,0.026000747863247863,,,,
2017-08-20,0.09039696969696971,2021-06-08,0.0370326248671626,,,,
2017-08-21,-0.013428930817610063,2021-06-15,0.05293244529019981,,,,
2017-08-22,-0.029753072625698325,2021-06-22,0.035003653444676416,,,,
2017-08-23,0.03616011904761905,2021-06-29,0.004929596853490659,,,,
2017-08-24,-0.03921625615763547,2021-07-06,-0.0043477220956719825,,,,
2017-08-25,0.03694619047619048,2021-07-13,-0.005150545094152626,,,,
2017-08-26,-0.053252325581395345,2021-07-20,0.003499365750528541,,,,
2017-08-27,-0.11062553191489362,2021-07-27,0.047667729831144465,,,,
2017-08-28,-0.006030519480519477,2021-08-03,0.0465083119108826,,,,
2017-08-29,-0.022918954248366014,2021-08-10,0.02239470699432892,,,,
2017-08-30,-0.036889349112426036,2021-08-17,-0.008462971428571426,,,,
2017-08-31,0.0318455,2021-08-24,-0.012106270627062706,,,,
2017-09-01,0.08639035532994924,2021-08-31,-0.03309353448275862,,,,
2017-09-02,-0.07543820224719101,2021-09-07,-0.008272737556561086,,,,
2017-09-03,0.011089814814814815,2021-09-14,-0.006544395410414829,,,,
2017-09-04,-0.028197959183673463,2021-09-21,0.03605714285714286,,,,
2017-09-05,0.017596363636363632,2021-09-28,0.0640231884057971,,,,
2017-09-06,0.05634246575342466,2021-10-05,0.02204812108559499,,,,
2017-09-07,0.09967488986784141,2021-10-12,0.0492677517802645,,,,
2017-09-08,0.0024121951219512184,2021-10-19,0.0024417106652587107,,,,
2017-09-09,0.05468785046728972,2021-10-26,0.013763313008130083,,,,
2017-09-10,0.010720967741935483,2021-11-02,0.009183999999999998,,,,
2017-09-11,0.01913225806451613,2021-11-09,0.05248137860082304,,,,
2017-09-12,0.046421608040201005,2021-11-16,0.020573593073593074,,,,
2017-09-13,0.0018903553299492411,2021-11-23,0.009543343343343343,,,,
2017-09-14,0.08002744186046512,2021-11-30,0.03223828647925034,,,,
2017-09-15,0.038899111111111113,2021-12-07,0.026435793731041456,,,,
2017-09-16,-0.00155862068965517,2021-12-14,0.024242093784078517,,,,
