,date, value,day_of_week,change,percent_change
0,2016-12-30,19762.6,Friday,0.0,0.0
1,2017-01-06,19963.8,Friday,201.20000000000073,0.0100782416173274
2,2017-01-13,19885.73,Friday,-78.06999999999971,-0.003925930805658113
3,2017-01-20,19827.25,Friday,-58.47999999999956,-0.002949476099812105
4,2017-01-27,20093.78,Friday,266.52999999999884,0.013264303680044215
5,2017-02-03,20071.46,Friday,-22.31999999999971,-0.0011120267284990583
6,2017-02-10,20269.37,Friday,197.90999999999985,0.009763993651504703
7,2017-02-17,20624.05,Friday,354.6800000000003,0.01719739818318906
8,2017-02-24,20821.76,Friday,197.70999999999913,0.009495354859531525
9,2017-03-03,21005.71,Friday,183.95000000000073,0.008757142700722838
10,2017-03-10,20902.98,Friday,-102.72999999999956,-0.004914610261312003
11,2017-03-17,20914.62,Friday,11.639999999999418,0.0005565484813971958
12,2017-03-24,20596.72,Friday,-317.8999999999978,-0.015434496366411633
13,2017-03-31,20663.22,Friday,66.5,0.0032182786613122252
14,2017-04-07,20656.1,Friday,-7.120000000002619,-0.0003446923669038502
15,2017-04-21,20547.76,Friday,-108.34000000000015,-0.005272594190315643
16,2017-04-28,20940.51,Friday,392.75,0.018755512640332067
17,2017-05-05,21006.94,Friday,66.43000000000029,0.003162288272351913
18,2017-05-12,20896.61,Friday,-110.32999999999811,-0.005279803757642895
19,2017-05-19,20804.84,Friday,-91.77000000000044,-0.0044109928266692
20,2017-05-26,21080.28,Friday,275.4399999999987,0.01306624010686759
21,2017-06-02,21206.29,Friday,126.01000000000204,0.005942104913212167
22,2017-06-09,21271.97,Friday,65.68000000000029,0.003087631281917015
23,2017-06-16,21384.28,Friday,112.30999999999767,0.0052519888441414754
24,2017-06-23,21394.76,Friday,10.479999999999563,0.000489839568193313
25,2017-06-30,21349.63,Friday,-45.12999999999738,-0.002113853963745385
26,2017-07-07,21414.34,Friday,64.70999999999913,0.0030218068826776416
27,2017-07-14,21637.74,Friday,223.40000000000146,0.010324553303626046
28,2017-07-21,21580.07,Friday,-57.67000000000189,-0.0026723731665375455
29,2017-07-28,21830.31,Friday,250.2400000000016,0.01146296135968759
30,2017-08-04,22092.81,Friday,262.5,0.011881693636979633
31,2017-08-11,21858.32,Friday,-234.4900000000016,-0.010727722899106684
32,2017-08-18,21674.51,Friday,-183.8100000000013,-0.008480468531929963
33,2017-08-25,21813.67,Friday,139.15999999999985,0.006379485891186576
34,2017-09-01,21987.56,Friday,173.89000000000306,0.007908562841898012
35,2017-09-08,21797.79,Friday,-189.77000000000044,-0.008705928445039632
36,2017-09-15,22268.34,Friday,470.5499999999993,0.021130897049353444
37,2017-09-22,22349.59,Friday,81.25,0.0036354134460632164
38,2017-09-29,22405.09,Friday,55.5,0.002477115691121973
39,2017-10-06,22773.67,Friday,368.5799999999981,0.016184479708364886
40,2017-10-13,22871.72,Friday,98.05000000000291,0.00428695349540843
41,2017-10-20,23328.63,Friday,456.90999999999985,0.01958580508156715
42,2017-10-27,23434.19,Friday,105.55999999999767,0.004504529493018435
43,2017-11-03,23539.19,Friday,105.0,0.004460646266927622
44,2017-11-10,23422.21,Friday,-116.97999999999956,-0.004994404883228336
45,2017-11-17,23358.24,Friday,-63.969999999997526,-0.002738648117323802
46,2017-11-24,23557.99,Friday,199.75,0.008479076525628884
47,2017-12-01,24231.59,Friday,673.5999999999985,0.027798423462925815
48,2017-12-08,24329.16,Friday,97.56999999999971,0.00401041384083954
49,2017-12-15,24651.74,Friday,322.58000000000175,0.013085486054939803
50,2017-12-22,24754.06,Friday,102.31999999999971,0.0041334633591418824
51,2017-12-29,24719.22,Friday,-34.840000000000146,-0.0014094295855613624
52,2018-01-05,25295.87,Friday,576.6499999999978,0.022796211397354504
53,2018-01-12,25803.19,Friday,507.3199999999997,0.019661134921689905
54,2018-01-19,26071.72,Friday,268.5300000000025,0.010299665691408257
55,2018-01-26,26616.71,Friday,544.989999999998,0.020475483258449223
56,2018-02-02,25520.96,Friday,-1095.75,-0.04293529710481111
57,2018-02-09,24190.9,Friday,-1330.0599999999977,-0.05498183201121073
58,2018-02-16,25219.38,Friday,1028.4799999999996,0.04078133562363546
59,2018-02-23,25309.99,Friday,90.61000000000058,0.003580009316479405
60,2018-03-02,24538.06,Friday,-771.9300000000003,-0.03145847715752591
61,2018-03-09,25335.74,Friday,797.6800000000003,0.031484377405199146
62,2018-03-16,24946.51,Friday,-389.2300000000032,-0.015602583287201426
63,2018-03-23,23533.2,Friday,-1413.3099999999977,-0.06005600598303663
64,2018-04-06,23932.76,Friday,399.5599999999977,0.016695107459398652
65,2018-04-13,24360.14,Friday,427.380000000001,0.017544234146437625
66,2018-04-20,24462.94,Friday,102.79999999999927,0.004202274951416276
67,2018-04-27,24311.19,Friday,-151.75,-0.00624198157309453
68,2018-05-04,24262.51,Friday,-48.68000000000029,-0.002006387632606861
69,2018-05-11,24831.17,Friday,568.6599999999999,0.022901055407377094
70,2018-05-18,24715.09,Friday,-116.07999999999811,-0.004696725765514029
71,2018-05-25,24753.09,Friday,38.0,0.0015351618727197291
72,2018-06-01,24635.21,Friday,-117.88000000000102,-0.004785021114088373
73,2018-06-08,25316.53,Friday,681.3199999999997,0.026912061013100917
74,2018-06-15,25090.48,Friday,-226.04999999999927,-0.009009393204115635
75,2018-06-22,24580.89,Friday,-509.59000000000015,-0.020731145210771462
76,2018-06-29,24271.41,Friday,-309.47999999999956,-0.012750804341404128
77,2018-07-06,24456.48,Friday,185.0699999999997,0.007567319581558741
78,2018-07-13,25019.41,Friday,562.9300000000003,0.022499731208689585
79,2018-07-20,25058.12,Friday,38.70999999999913,0.0015448086288994995
80,2018-07-27,25451.06,Friday,392.9400000000023,0.015439042617478499
81,2018-08-03,25462.58,Friday,11.520000000000437,0.00045242862270832083
82,2018-08-10,25313.14,Friday,-149.44000000000233,-0.005903653201459887
83,2018-08-17,25669.32,Friday,356.1800000000003,0.01387570843325808
84,2018-08-24,25790.35,Friday,121.02999999999884,0.004692840539193878
85,2018-08-31,25964.82,Friday,174.47000000000116,0.006719476584085743
86,2018-09-07,25916.54,Friday,-48.279999999998836,-0.0018629029955387114
87,2018-09-14,26154.67,Friday,238.12999999999738,0.009104683790695787
88,2018-09-21,26743.5,Friday,588.8300000000017,0.022017686540654804
89,2018-09-28,26458.31,Friday,-285.1899999999987,-0.010778844151421564
90,2018-10-05,26447.05,Friday,-11.260000000002037,-0.00042575636980313636
91,2018-10-12,25339.99,Friday,-1107.0599999999977,-0.04368825717768624
92,2018-10-19,25444.34,Friday,104.34999999999854,0.004101108537301362
93,2018-10-26,24688.31,Friday,-756.0299999999988,-0.030622995255649287
94,2018-11-02,25270.83,Friday,582.5200000000004,0.02305108300756249
95,2018-11-09,25989.3,Friday,718.4699999999975,0.027644838452747768
96,2018-11-16,25413.22,Friday,-576.0799999999981,-0.02266851662245076
97,2018-11-23,24285.95,Friday,-1127.2700000000004,-0.04641654948643147
98,2018-11-30,25538.46,Friday,1252.5099999999984,0.04904406921952218
99,2018-12-07,24388.95,Friday,-1149.5099999999984,-0.04713241037437029
100,2018-12-14,24100.51,Friday,-288.4400000000023,-0.01196821146108536
101,2018-12-21,22445.37,Friday,-1655.1399999999994,-0.0737408204899273
102,2018-12-28,23062.4,Friday,617.0300000000025,0.026754804356875366
103,2019-01-04,23433.16,Friday,370.7599999999984,0.015822023150100048
104,2019-01-11,23995.95,Friday,562.7900000000009,0.0234535411183971
105,2019-01-18,24706.35,Friday,710.3999999999978,0.02875374144703681
106,2019-01-25,24737.2,Friday,30.850000000002183,0.001247109616286491
107,2019-02-01,25063.89,Friday,326.6899999999987,0.01303428956957594
108,2019-02-08,25106.33,Friday,42.44000000000233,0.0016904103467134514
109,2019-02-15,25883.25,Friday,776.9199999999983,0.03001632329788563
110,2019-02-22,26031.81,Friday,148.5600000000013,0.005706864025206135
111,2019-03-01,26026.32,Friday,-5.490000000001601,-0.00021094030965582535
112,2019-03-08,25450.24,Friday,-576.0799999999981,-0.022635542926117712
113,2019-03-15,25848.87,Friday,398.6299999999974,0.015421563882676395
114,2019-03-22,25502.32,Friday,-346.5499999999993,-0.013588959749544327
115,2019-03-29,25928.68,Friday,426.3600000000006,0.016443567509028634
116,2019-04-05,26424.99,Friday,496.3100000000013,0.018781842490763527
117,2019-04-12,26412.3,Friday,-12.690000000002328,-0.0004804579684466074
118,2019-04-26,26543.33,Friday,131.03000000000247,0.004936456729430801
119,2019-05-03,26504.95,Friday,-38.38000000000102,-0.0014480314054544912
120,2019-05-10,25942.37,Friday,-562.5800000000017,-0.021685759627975462
121,2019-05-17,25764.0,Friday,-178.36999999999898,-0.006923226207110658
122,2019-05-24,25585.69,Friday,-178.3100000000013,-0.006969130009782863
123,2019-05-31,24815.04,Friday,-770.6499999999978,-0.031055762956658454
124,2019-06-07,25983.94,Friday,1168.8999999999978,0.04498547949233249
125,2019-06-14,26089.61,Friday,105.67000000000189,0.00405027135323226
126,2019-06-21,26719.13,Friday,629.5200000000004,0.023560647371377752
127,2019-06-28,26599.96,Friday,-119.17000000000189,-0.004480081924935297
128,2019-07-05,26922.12,Friday,322.15999999999985,0.011966368176057453
129,2019-07-12,27332.03,Friday,409.90999999999985,0.014997422438069908
130,2019-07-19,27154.2,Friday,-177.8299999999981,-0.006548894830265598
131,2019-07-26,27192.45,Friday,38.25,0.0014066404461532522
132,2019-08-02,26485.01,Friday,-707.4400000000023,-0.02671095838740489
133,2019-08-09,26287.44,Friday,-197.5699999999997,-0.007515756574242289
134,2019-08-16,25886.01,Friday,-401.4300000000003,-0.01550760430054691
135,2019-08-23,25628.9,Friday,-257.10999999999694,-0.010032034148948918
136,2019-08-30,26403.28,Friday,774.3799999999974,0.029328931859980936
137,2019-09-06,26797.46,Friday,394.1800000000003,0.014709603074321235
138,2019-09-13,27219.52,Friday,422.0600000000013,0.015505784084363034
139,2019-09-20,26935.07,Friday,-284.4500000000007,-0.01056058142785598
140,2019-09-27,26820.25,Friday,-114.81999999999971,-0.004281093576681787
141,2019-10-04,26573.72,Friday,-246.52999999999884,-0.009277210717957396
142,2019-10-11,26816.59,Friday,242.86999999999898,0.009056707060815673
143,2019-10-18,26770.2,Friday,-46.38999999999942,-0.0017328970272915188
144,2019-10-25,26958.06,Friday,187.86000000000058,0.006968602340079389
145,2019-11-01,27347.36,Friday,389.2999999999993,0.014235377747614368
146,2019-11-08,27681.24,Friday,333.880000000001,0.012061598396603656
147,2019-11-15,28004.89,Friday,323.6499999999978,0.011556910239604506
148,2019-11-22,27875.62,Friday,-129.27000000000044,-0.004637385643799149
149,2019-11-29,28051.41,Friday,175.79000000000087,0.006266708161907044
150,2019-12-06,28015.06,Friday,-36.349999999998545,-0.0012975164072466217
151,2019-12-13,28135.38,Friday,120.31999999999971,0.004276466143339799
152,2019-12-20,28455.09,Friday,319.7099999999991,0.0112355996765429
153,2019-12-27,28645.26,Friday,190.16999999999825,0.006638794690639857
154,2020-01-03,28634.88,Friday,-10.37999999999738,-0.00036249497116793854
155,2020-01-10,28823.77,Friday,188.88999999999942,0.006553271830853473
156,2020-01-17,29348.1,Friday,524.3299999999981,0.017865892510929092
157,2020-01-24,28989.73,Friday,-358.369999999999,-0.01236196404726774
158,2020-01-31,28256.03,Friday,-733.7000000000007,-0.025966138909110755
159,2020-02-07,29102.51,Friday,846.4799999999996,0.029086150988351163
160,2020-02-14,29398.08,Friday,295.57000000000335,0.010054057952084059
161,2020-02-21,28992.41,Friday,-405.6700000000019,-0.0139922828078108
162,2020-02-28,25409.36,Friday,-3583.0499999999993,-0.14101299678543652
163,2020-03-06,25864.78,Friday,455.41999999999825,0.017607727573944115
164,2020-03-13,23185.62,Friday,-2679.16,-0.11555265720735525
165,2020-03-20,19173.98,Friday,-4011.6399999999994,-0.2092231242548495
166,2020-03-27,21636.78,Friday,2462.7999999999993,0.11382470034820336
167,2020-04-03,21052.53,Friday,-584.25,-0.02775200890344296
168,2020-04-17,24242.49,Friday,3189.9600000000028,0.13158549307435013
169,2020-04-24,23775.27,Friday,-467.22000000000116,-0.01965151184402958
170,2020-05-01,23723.69,Friday,-51.580000000001746,-0.0021741980273727126
171,2020-05-08,24331.32,Friday,607.630000000001,0.024973162163006407
172,2020-05-15,23685.42,Friday,-645.9000000000015,-0.02726994074835918
173,2020-05-22,24465.16,Friday,779.7400000000016,0.03187144494456613
174,2020-05-29,25383.11,Friday,917.9500000000007,0.03616381129026351
175,2020-06-05,27110.98,Friday,1727.869999999999,0.06373321805408727
176,2020-06-12,25605.54,Friday,-1505.4399999999987,-0.058793526713359634
177,2020-06-19,25871.46,Friday,265.91999999999825,0.010278507668295422
178,2020-06-26,25015.55,Friday,-855.9099999999999,-0.034215118196481785
179,2020-07-10,26075.3,Friday,1059.75,0.04064191016018991
180,2020-07-17,26671.95,Friday,596.6500000000015,0.022369942955052083
181,2020-07-24,26469.89,Friday,-202.0600000000013,-0.0076335791346318895
182,2020-07-31,26428.32,Friday,-41.56999999999971,-0.0015729338830466602
183,2020-08-07,27433.48,Friday,1005.1599999999999,0.036639901317660026
184,2020-08-14,27931.02,Friday,497.5400000000009,0.017813169730285572
185,2020-08-21,27930.33,Friday,-0.6899999999986903,-2.4704326801677255e-05
186,2020-08-28,28653.87,Friday,723.5399999999972,0.025251039388396655
187,2020-09-04,28133.31,Friday,-520.5599999999977,-0.018503332881911073
188,2020-09-11,27665.64,Friday,-467.6700000000019,-0.016904362234164902
189,2020-09-18,27657.42,Friday,-8.220000000001164,-0.00029720776558338284
190,2020-09-25,27173.96,Friday,-483.4599999999991,-0.01779129725663831
191,2020-10-02,27682.81,Friday,508.8500000000022,0.018381443213315488
192,2020-10-09,28586.9,Friday,904.0900000000001,0.03162602450772907
193,2020-10-16,28606.31,Friday,19.409999999999854,0.0006785216268718284
194,2020-10-23,28335.57,Friday,-270.7400000000016,-0.00955477514657378
195,2020-10-30,26501.6,Friday,-1833.9700000000012,-0.06920223684607726
196,2020-11-06,28323.4,Friday,1821.800000000003,0.06432137384636036
197,2020-11-13,29479.81,Friday,1156.4099999999999,0.039227186335325764
198,2020-11-20,29263.48,Friday,-216.33000000000175,-0.007392490571866427
199,2020-11-27,29910.37,Friday,646.8899999999994,0.02162761610772449
200,2020-12-04,30218.26,Friday,307.8899999999994,0.01018887255586521
201,2020-12-11,30046.37,Friday,-171.88999999999942,-0.005720824179426647
202,2020-12-18,30179.05,Friday,132.6800000000003,0.0043964273229276695
203,2021-01-08,31097.97,Friday,918.9200000000019,0.02954919565489329
204,2021-01-15,30814.26,Friday,-283.71000000000276,-0.009207100868234473
205,2021-01-22,30996.98,Friday,182.72000000000116,0.005894767812864387
206,2021-01-29,29982.62,Friday,-1014.3600000000006,-0.033831599773468786
207,2021-02-05,31148.24,Friday,1165.6200000000026,0.03742169702044169
208,2021-02-12,31458.4,Friday,310.15999999999985,0.009859369834448028
209,2021-02-19,31494.32,Friday,35.919999999998254,0.0011405231165492143
210,2021-02-26,30932.37,Friday,-561.9500000000007,-0.018167052831709978
211,2021-03-05,31496.3,Friday,563.9300000000003,0.017904642767563185
212,2021-03-12,32778.64,Friday,1282.3400000000001,0.0391212082014385
213,2021-03-19,32627.97,Friday,-150.66999999999825,-0.004617817167295368
214,2021-03-26,33072.88,Friday,444.9099999999962,0.013452411764563481
215,2021-04-09,33800.6,Friday,727.7200000000012,0.021529795329077034
216,2021-04-16,34200.67,Friday,400.0699999999997,0.011697724050435261
217,2021-04-23,34043.49,Friday,-157.1800000000003,-0.004617035444955858
218,2021-04-30,33874.85,Friday,-168.63999999999942,-0.004978324627267705
219,2021-05-07,34777.76,Friday,902.9100000000035,0.025962281642061002
220,2021-05-14,34382.13,Friday,-395.63000000000466,-0.011506849633807001
221,2021-05-21,34207.84,Friday,-174.29000000000087,-0.005095030846729898
222,2021-05-28,34529.45,Friday,321.6100000000006,0.009314078272315389
223,2021-06-04,34756.39,Friday,226.94000000000233,0.006529446815391424
224,2021-06-11,34479.6,Friday,-276.7900000000009,-0.008027645332312466
225,2021-06-18,33290.08,Friday,-1189.5199999999968,-0.03573196579882045
226,2021-06-25,34433.84,Friday,1143.7599999999948,0.03321616177574139
227,2021-07-02,34786.35,Friday,352.51000000000204,0.01013357250760721
228,2021-07-09,34870.16,Friday,83.81000000000495,0.0024034876811578993
229,2021-07-16,34687.85,Friday,-182.31000000000495,-0.00525573075298714
230,2021-07-23,35061.55,Friday,373.70000000000437,0.010658399300658537
231,2021-07-30,34935.47,Friday,-126.08000000000175,-0.0036089395677230546
232,2021-08-06,35208.51,Friday,273.0400000000009,0.007754943336142337
233,2021-08-13,35515.38,Friday,306.86999999999534,0.008640481954578422
234,2021-08-20,35120.08,Friday,-395.29999999999563,-0.011255669121482514
235,2021-08-27,35455.8,Friday,335.72000000000116,0.009468690595050771
236,2021-09-03,35369.09,Friday,-86.7100000000064,-0.0024515756554665787
237,2021-09-10,34607.72,Friday,-761.3699999999953,-0.022000004623245778
238,2021-09-17,34584.88,Friday,-22.840000000003783,-0.000660404199754453
239,2021-09-24,34798.0,Friday,213.12000000000262,0.006124489913213478
240,2021-10-01,34326.46,Friday,-471.5400000000009,-0.013736924809607542
241,2021-10-08,34746.25,Friday,419.7900000000009,0.012081591538655276
242,2021-10-15,35294.76,Friday,548.510000000002,0.015540833823491137
243,2021-10-22,35677.02,Friday,382.25999999999476,0.010714459896033772
244,2021-10-29,35819.56,Friday,142.54000000000087,0.0039793900315917025
245,2021-11-05,36327.95,Friday,508.3899999999994,0.013994458812016627
246,2021-11-12,36100.31,Friday,-227.63999999999942,-0.006305763025303645
247,2021-11-19,35601.98,Friday,-498.32999999999447,-0.013997255208839352
248,2021-11-26,34899.34,Friday,-702.6400000000067,-0.02013333203435958
249,2021-12-03,34580.08,Friday,-319.25999999999476,-0.009232482978639574
250,2021-12-10,35970.99,Friday,1390.9099999999962,0.03866754848837901
251,2021-12-17,35365.44,Friday,-605.5499999999956,-0.017122648551806386
252,2021-12-31,36338.3,Friday,972.8600000000006,0.02677230360253508
